# MASTERLIJST 043 — Frankfurt
# Laatste update: 22/08/2026
# Criteria: ROE>7% | Debt<130 | Marge>4% | Vol 18%-65% | Omzet>€150,000
# Kolommen: ticker | opname | ROE | Debt | Marge | Vol | Omzet | status [| weken_buiten] [| verwijderd]
# --------------------------------------------------------------------------------
SHL.DE           | opname:2026-05-03 | ROE:12.1% | Debt:78.3 | Marge:9.6% | Vol:24.8% | Omzet:42,533,993 | actief
SIE.DE           | opname:2026-05-03 | ROE:12.5% | Debt:66.4 | Marge:9.8% | Vol:32.4% | Omzet:267,902,906 | actief
SII.DE           | opname:2026-08-22 | ROE:23.5% | Debt:20.4 | Marge:64.7% | Vol:47.4% | Omzet:355,770 | actief
SLYG.DE          | opname:2026-08-22 | ROE:30.6% | Debt:6.9 | Marge:18.5% | Vol:38.0% | Omzet:395,344 | actief
SND.DE           | opname:2026-08-16 | ROE:18.6% | Debt:84.1 | Marge:11.3% | Vol:32.4% | Omzet:860,239 | actief
SPG.DE           | opname:2026-08-16 | ROE:17.1% | Debt:71.8 | Marge:16.8% | Vol:33.2% | Omzet:798,743 | actief
SQU.DE           | opname:2026-08-22 | ROE:16.3% | Debt:120.7 | Marge:6.7% | Vol:24.4% | Omzet:260,069 | actief
SRT.DE           | opname:2026-08-16 | ROE:7.2% | Debt:101.4 | Marge:5.5% | Vol:40.7% | Omzet:687,497 | actief
SRT3.DE          | opname:2026-05-24 | ROE:7.2% | Debt:101.4 | Marge:5.5% | Vol:40.8% | Omzet:23,928,326 | actief
STM.DE           | opname:2026-08-22 | ROE:8.4% | Debt:102.2 | Marge:4.7% | Vol:40.2% | Omzet:1,417,024 | actief
SYK.DE           | opname:2026-08-22 | ROE:16.5% | Debt:64.4 | Marge:14.4% | Vol:58.5% | Omzet:204,110 | actief
TII.DE           | opname:2026-08-22 | ROE:35.2% | Debt:78.0 | Marge:31.1% | Vol:39.0% | Omzet:172,998 | actief
TLX.DE           | opname:2026-05-08 | ROE:20.4% | Debt:40.4 | Marge:6.1% | Vol:21.8% | Omzet:13,134,806 | actief
TN8.DE           | opname:2026-08-22 | ROE:13.5% | Debt:80.6 | Marge:15.0% | Vol:32.4% | Omzet:159,793 | actief
TOTB.DE          | opname:2026-08-22 | ROE:14.5% | Debt:48.0 | Marge:9.1% | Vol:22.8% | Omzet:1,643,429 | actief
TT8.DE           | opname:2026-08-22 | ROE:15.4% | Debt:16.9 | Marge:13.6% | Vol:62.2% | Omzet:417,576 | actief
TTR1.DE          | opname:2026-08-22 | ROE:10.9% | Debt:24.0 | Marge:4.7% | Vol:44.9% | Omzet:318,846 | actief
UT8.DE           | opname:2026-08-22 | ROE:37.2% | Debt:51.9 | Marge:17.3% | Vol:34.2% | Omzet:537,473 | actief
UTDI.DE          | opname:2026-05-17 | ROE:8.1% | Debt:91.3 | Marge:5.0% | Vol:32.6% | Omzet:4,791,815 | actief
UU2.DE           | opname:2026-08-22 | ROE:12.3% | Debt:23.2 | Marge:24.1% | Vol:26.9% | Omzet:247,203 | actief
VH2.DE           | opname:2026-08-22 | ROE:40.4% | Debt:8.9 | Marge:13.2% | Vol:52.3% | Omzet:4,038,705 | actief
VWSB.DE          | opname:2026-08-16 | ROE:30.9% | Debt:89.2 | Marge:5.4% | Vol:44.5% | Omzet:847,142 | actief
WAC.DE           | opname:2026-08-16 | ROE:7.8% | Debt:21.1 | Marge:4.9% | Vol:47.3% | Omzet:1,116,260 | actief
WDP.DE           | opname:2026-08-22 | ROE:8.0% | Debt:39.4 | Marge:8.7% | Vol:25.7% | Omzet:230,925 | actief
WEW.DE           | opname:2026-08-22 | ROE:32.5% | Debt:38.6 | Marge:4.9% | Vol:51.1% | Omzet:283,130 | actief
5AP.DE           | opname:2026-08-16 | ROE:4.8% | Debt:7.7 | Marge:7.9% | Vol:43.7% | Omzet:891,178 | zwakker | weken_buiten:1
8TRA.DE          | opname:2026-08-16 | ROE:9.7% | Debt:149.4 | Marge:4.0% | Vol:32.7% | Omzet:5,500,620 | zwakker | weken_buiten:1
AIXA.DE          | opname:2026-05-08 | ROE:6.3% | Debt:35.4 | Marge:12.1% | Vol:68.9% | Omzet:25,683,053 | zwakker | weken_buiten:1
AMD.DE           | opname:2026-08-16 | ROE:10.2% | Debt:6.4 | Marge:15.6% | Vol:69.1% | Omzet:12,094,571 | zwakker | weken_buiten:1
ARRD.DE          | opname:2026-08-16 | ROE:3.3% | Debt:25.4 | Marge:2.9% | Vol:41.1% | Omzet:1,141,949 | zwakker | weken_buiten:1
BC8.DE           | opname:2026-08-16 | ROE:12.3% | Debt:53.5 | Marge:3.6% | Vol:41.5% | Omzet:8,447,570 | zwakker | weken_buiten:1
DEZ.DE           | opname:2026-05-08 | ROE:8.7% | Debt:61.4 | Marge:3.7% | Vol:43.9% | Omzet:7,523,077 | zwakker | weken_buiten:1
EJT1.DE          | opname:2026-08-16 | ROE:13.1% | Debt:82.4 | Marge:3.9% | Vol:40.1% | Omzet:500,668 | zwakker | weken_buiten:1
FMV.DE           | opname:2026-08-16 | ROE:13.4% | Debt:9.8 | Marge:21.2% | Vol:77.3% | Omzet:2,139,968 | zwakker | weken_buiten:1
ING.AS           | opname:2025-02-10 | ROE:16% | Debt:58.0 | Marge:11% | Vol:38% | Omzet:? | zwakker | weken_buiten:1
MTE.DE           | opname:2026-08-16 | ROE:66.6% | Debt:6.3 | Marge:55.9% | Vol:72.5% | Omzet:11,112,015 | zwakker | weken_buiten:1
NOA3.DE          | opname:2026-08-16 | ROE:3.5% | Debt:15.8 | Marge:3.5% | Vol:56.6% | Omzet:5,386,480 | zwakker | weken_buiten:1
SGM.DE           | opname:2026-08-16 | ROE:2.7% | Debt:23.4 | Marge:3.6% | Vol:54.6% | Omzet:888,601 | zwakker | weken_buiten:1
SMHN.DE          | opname:2026-05-08 | ROE:8.2% | Debt:14.9 | Marge:5.8% | Vol:70.6% | Omzet:7,047,792 | zwakker | weken_buiten:1
TKMS.DE          | opname:2026-08-16 | ROE:6.5% | Debt:3.6 | Marge:3.3% | Vol:64.0% | Omzet:18,617,432 | zwakker | weken_buiten:1
TNIE.DE          | opname:2026-08-16 | ROE:-3.9% | Debt:11.8 | Marge:-1.9% | Vol:40.6% | Omzet:1,561,843 | zwakker | weken_buiten:1
UNH.DE           | opname:2026-08-16 | ROE:14.2% | Debt:69.2 | Marge:3.1% | Vol:36.6% | Omzet:831,213 | zwakker | weken_buiten:1
ALV.DE           | opname:2026-05-03 | ROE:19.6% | Debt:50.6 | Marge:9.9% | Vol:17.6% | Omzet:206,673,715 | verwijderd | verwijderd:2026-05-17
AT1.DE           | opname:2026-05-08 | ROE:6.1% | Debt:100.0 | Marge:45.2% | Vol:38.9% | Omzet:6,842,146 | verwijderd | verwijderd:2026-06-07
BMW.DE           | opname:2026-05-08 | ROE:6.6% | Debt:119.9 | Marge:4.9% | Vol:27.9% | Omzet:85,344,645 | verwijderd | verwijderd:2026-07-19
DEQ.DE           | opname:2026-05-03 | ROE:11.0% | Debt:96.5 | Marge:75.8% | Vol:16.7% | Omzet:195,976 | verwijderd | verwijderd:2026-06-28
MLP.DE           | opname:2026-05-08 | ROE:12.0% | Debt:9999.0 | Marge:6.2% | Vol:24.8% | Omzet:455,967 | verwijderd | verwijderd:2026-06-21
MOV.DE           | opname:2026-05-03 | ROE:18.1% | Debt:33.9 | Marge:20.0% | Vol:44.3% | Omzet:31,962 | verwijderd | verwijderd:2026-05-10
MZX.DE           | opname:2026-05-03 | ROE:13.3% | Debt:18.2 | Marge:8.8% | Vol:28.7% | Omzet:23,706 | verwijderd | verwijderd:2026-05-10
NKT.DE           | opname:2026-05-03 | ROE:13.4% | Debt:13.2 | Marge:7.8% | Vol:38.9% | Omzet:34,083 | verwijderd | verwijderd:2026-05-10
VNA.DE           | opname:2026-05-10 | ROE:14.6% | Debt:135.1 | Marge:64.8% | Vol:29.0% | Omzet:66,647,287 | verwijderd | verwijderd:2026-07-19
ABN.AS           | opname:2025-01-20 | ROE:? | Debt:? | Marge:? | Vol:? | Omzet:? | ?
