# MASTERLIJST 057 — NYSE
# Laatste update: 30/08/2026
# Nitro Criteria: ROE>4% | Debt<140 | Marge>3% | Vol 35%-95% | Omzet>€2,500,000
# Kolommen: ticker | opname | ROE | Debt | Marge | Vol | Omzet | status [| weken_buiten] [| verwijderd]
# --------------------------------------------------------------------------------
RAMP             | opname:2026-08-16 | ROE:16.1% | Debt:3.4 | Marge:18.7% | Vol:40.9% | Omzet:30,041,874 | actief
SCCO             | opname:2026-08-16 | ROE:49.9% | Debt:67.9 | Marge:35.9% | Vol:52.4% | Omzet:260,617,358 | actief
SKY              | opname:2026-08-16 | ROE:12.6% | Debt:7.8 | Marge:7.2% | Vol:46.3% | Omzet:58,125,821 | actief
SM               | opname:2026-08-16 | ROE:16.1% | Debt:95.1 | Marge:20.2% | Vol:52.4% | Omzet:109,982,844 | actief
STNG             | opname:2026-08-16 | ROE:24.6% | Debt:20.0 | Marge:67.2% | Vol:37.4% | Omzet:66,980,940 | actief
SWK              | opname:2026-08-16 | ROE:6.9% | Debt:58.2 | Marge:4.1% | Vol:37.8% | Omzet:145,682,298 | actief
SXI              | opname:2026-08-16 | ROE:17.2% | Debt:75.0 | Marge:11.7% | Vol:38.7% | Omzet:42,219,529 | actief
SXT              | opname:2026-08-16 | ROE:13.1% | Debt:60.6 | Marge:9.3% | Vol:40.9% | Omzet:42,580,073 | actief
TDW              | opname:2026-08-16 | ROE:19.4% | Debt:45.5 | Marge:18.3% | Vol:49.5% | Omzet:52,675,136 | actief
TEN              | opname:2026-08-16 | ROE:11.6% | Debt:109.7 | Marge:24.8% | Vol:36.0% | Omzet:10,774,031 | actief
TFII             | opname:2026-08-16 | ROE:12.4% | Debt:111.5 | Marge:4.1% | Vol:36.8% | Omzet:41,161,438 | actief
TFPM             | opname:2026-08-16 | ROE:20.1% | Debt:10.4 | Marge:84.3% | Vol:45.1% | Omzet:20,478,847 | actief
TREX             | opname:2026-08-16 | ROE:17.7% | Debt:30.0 | Marge:14.7% | Vol:50.4% | Omzet:87,928,778 | actief
TRU              | opname:2026-08-16 | ROE:15.6% | Debt:113.2 | Marge:15.1% | Vol:41.1% | Omzet:206,328,237 | actief
TWLO             | opname:2026-08-16 | ROE:13.5% | Debt:11.9 | Marge:20.6% | Vol:61.4% | Omzet:367,500,285 | actief
TYL              | opname:2026-08-22 | ROE:9.7% | Debt:47.9 | Marge:13.4% | Vol:40.8% | Omzet:219,400,853 | actief
UBER             | opname:2026-08-22 | ROE:37.2% | Debt:51.9 | Marge:17.3% | Vol:35.7% | Omzet:1,510,895,180 | actief
UMC              | opname:2026-08-16 | ROE:21.3% | Debt:14.3 | Marge:33.3% | Vol:62.2% | Omzet:166,049,811 | actief
UNF              | opname:2026-08-16 | ROE:5.3% | Debt:3.9 | Marge:4.6% | Vol:35.4% | Omzet:51,565,148 | actief
UNH              | opname:2026-08-16 | ROE:14.2% | Debt:69.2 | Marge:3.1% | Vol:35.5% | Omzet:2,751,313,283 | actief
USPH             | opname:2026-08-16 | ROE:6.5% | Debt:50.3 | Marge:4.0% | Vol:38.9% | Omzet:14,809,465 | actief
UVE              | opname:2026-08-16 | ROE:40.2% | Debt:15.4 | Marge:13.5% | Vol:38.9% | Omzet:6,883,573 | actief
VEEV             | opname:2026-08-30 | ROE:14.4% | Debt:2.0 | Marge:29.3% | Vol:42.6% | Omzet:427,121,829 | actief
VLO              | opname:2026-08-16 | ROE:27.6% | Debt:40.1 | Marge:5.4% | Vol:36.3% | Omzet:677,501,310 | actief
WAT              | opname:2026-08-16 | ROE:1.9% | Debt:36.0 | Marge:3.6% | Vol:36.4% | Omzet:304,849,547 | actief
